0 13304
368 -808 17696
1052 -4980 19712
5064 -1696 15684
1596 -256 12808
6076 -4384 15760
2972 -2872 18076
2316 -2912 19124
3512 -1464 16996
1520 -652 13584
5620 -1840 14684
4956 192 15060
1924 -1428 15252
-592 -912 22712
2196 -756 15180
4304 -3284 18324
6048 -1856 12968
3584 404 15240
3252 -1004 13024
8460 -740 8300
304 1256 8656
2152 -1756 15960
1236 -2516 15748
1448 -5276 18604
7460 -432 12220
4792 672 8268
2304 -424 11280
1524 -7660 20820
4172 -5876 14808
5028 528 18828
3248 -312 18492
5424 -876 14212
4532 -2656 11048
2384 -4292 15756
1632 -1472 17416
372 -2664 17704
936 -2756 16132
5784 -516 12984
584 -1048 16436
6376 -2236 16332
2980 -1384 17188
2952 -3764 16620
6568 -976 16812
6048 -568 12104
4884 -920 16152
392 -3408 19540
1152 -4148 15036
4160 -2180 12812
-984 -1592 19536
1272 -3476 21912
5400 -2272 12348
2340 380 11684
2976 -1192 22328
3820 -1944 16836
4480 -1676 9052
1784 -416 14496
-1712 -2484 19164
1520 -5040 17028
3348 -380 13284
4504 1596 14032
3632 -1960 16596
2816 -1624 15708
3440 -628 15644
1140 -868 19584
6632 -412 17152
3432 -600 14540
2568 -1912 16192
5556 -2464 15472
4452 -2152 12196
-636 -5240 11728
1332 -5024 17400
2852 -1700 15312
232 -2208 18632
3672 -1420 18636
6320 528 12772
8012 -124 8324
2200 -1260 12076
2268 -5296 18300
2684 -1716 17364
3168 -1036 10452
4704 788 19932
2016 -560 19936
2892 -3416 16828
2864 -3040 15912
1828 -1992 12904
2500 -1568 14456
1992 -2440 16700
1664 -2864 16364
5100 -892 16528
2876 -280 14588
2520 -344 15180
2492 -1220 15284
1500 -288 16052
3532 -144 17224
5308 -1792 14204
3164 -400 13772
3576 -1936 14588
2248 -2268 13588
2572 -2844 15656
3048 -1548 16044
972 -308 15816
4372 -2716 16380
3496 -3096 16136
5652 -2788 13152
2856 -2392 16332
3192 -2684 15056
5020 -1240 15120
4692 -300 15456
3080 -1892 15352
-1208 -2436 22896
3640 -1632 15480
2216 1500 11872
2476 1296 15476
736 -4352 17848
2324 -4536 17044
3544 -2812 12440
3764 -1312 9520
4528 228 15524
4276 -2740 16668
1380 -3512 19812
6508 -2884 16312
6832 -844 11976
6136 -2636 12560
6152 -3676 15176
4088 -6388 15236
5008 -3884 14632
4148 -3280 16988
4572 -3324 13760
3736 -3084 15148
1888 -4264 13216
1828 -2348 15628
4044 -2040 13788
-172 -2000 16948
2840 -3652 16556
4812 -816 14116
3232 -1464 15948
2416 -1424 21752
3596 -3464 17956
2528 -1404 16436
1892 -2880 16456
1228 -1608 18740
-840 -1092 19364
944 -1340 12188
2772 -1756 16100
3396 -2208 14420
2920 -2528 14556
-316 -3224 17440
5220 -2120 14396
5452 -888 12800
2132 -256 15480
4932 -2400 17432
7216 -2200 16988
2940 436 14400
5792 -1212 17220
6296 -276 17044
4036 -2620 16108
5108 -4236 16936
3968 -5316 13900
6340 -3968 15448
4524 -2404 14832
4496 -4056 14392
4096 -2580 13488
4252 -4740 12556
2524 -1312 15180
2264 -4100 17620
5556 -1784 14352
4356 -1452 10720
2280 -3084 15472
3644 -3348 16296
1208 -2660 12900
5176 -3392 12648
-660 -2380 16976
2644 -3720 16860
2660 -3780 17176
2372 -4692 17252
3124 -4004 14676
1524 -4888 14552
2008 -3344 17312
4636 -3596 13136
4616 -3720 12880
-1616 -6876 18392
3632 -5196 16716
5040 -3808 14672
372 -1820 11532
3476 -3780 12940
1136 -7192 19064
7424 -2028 10976
4268 -5388 11444
2408 -4700 15028
4632 -4372 12352
3088 -4544 12628
4624 -5032 16284
3396 -6608 14164
7240 -4428 7240
-640 -6064 21540
4580 -4688 17832
8692 -2380 8104
2292 -2396 12956
3028 -4932 16848
9996 -4608 10876
8288 -1632 13732
5916 -1612 12816
1400 -2036 12996
1128 -4576 18504
2432 -5604 16372
7036 -6216 13684
5468 -3476 16088
6256 -4300 11500
5120 -1568 10956
3880 -4012 12904
-132 -5536 15224
1976 -8632 19404
-3464 -6808 22328
756 -3540 17608
584 -2456 14392
1420 -4492 12248
-752 -1968 15856
108 -4036 15044
4912 -2184 12684
7436 -2028 9312
6224 -2688 11880
4356 -3824 17744
6148 -5540 17232
5068 -2292 14704
7084 -5032 13792
7816 -3648 14124
6956 -4264 12664
6432 -3780 14412
7032 -5552 18700
-364 -7024 20388
3488 -4672 14080
3572 -9596 12448
2324 -6140 15756
4804 -5008 14424
292 -5712 15076
2540 -5556 13708
2032 -1640 12844
928 -3148 14576
2376 -4268 16196
5412 -5664 11104
4868 -572 9992
2236 -3120 14488
1892 -5912 25676
4036 -2728 20672
4988 172 10616
4836 3080 13152
-1032 -4288 18080
184 -10200 17576
956 -5732 13360
3300 -3688 9596
-160 -5736 14908
-484 -7272 16964
4156 -6228 14772
2560 -3620 12152
2736 -3272 12816
1468 -6108 20264
204 -6344 18924
3692 -3832 13688
4824 -1484 10880
8568 1220 13220
4236 -4864 18264
3528 -6744 22544
7976 -3124 14932
5172 -5312 9172
-608 -8384 17660
808 -8684 18396
2232 -7008 15036
1696 -6464 14712
2752 -3656 15368
1348 -3568 14588
216 -6228 16776
3792 -4416 13980
1964 -5540 11244
2436 -6924 19084
3488 -5888 17368
5500 -2140 12940
3492 -1644 12724
6492 -3008 13784
2628 -5180 13568
3216 -5172 14544
160 -5420 18560
2420 -5292 16384
2824 -3468 16420
3180 -4120 13852
3792 -4084 14544
3860 -7472 18032
1244 -4372 16612
264 -3804 15460
3096 -5020 15976
3624 -4436 15492
3108 -2696 12832
4860 -2236 14456
2788 -680 18016
2312 -3292 14360
4512 -3396 14036
6780 412 14428
1368 1376 14080
3140 4364 17520
3412 6392 17760
3308 7996 16908
5012 2328 12212
1892 2208 16448
1528 -932 15704
3084 2672 16960
1684 2356 14856
2628 3484 18488
2320 -64 14220
5564 1104 12552
2124 -12 16256
888 2312 18940
4208 -824 16020
2468 3364 15356
2940 3620 14900
6752 948 15428
1708 2148 12072
3200 -2212 13820
3020 7380 14700
928 -2548 19580
3812 -752 13644
2404 2936 18088
824 -1172 17448
4392 660 14752
3768 656 16204
5540 1228 14448
4268 896 12364
3348 1276 16032
3912 -240 17480
3268 932 16196
1696 2476 19700
4024 412 12072
3008 2116 16908
-676 1916 16816
1128 -1952 22308
772 284 17416
1308 2964 16412
3176 1780 17348
4356 652 15340
3252 904 11300
6988 2804 13240
4652 2840 11076
5756 1656 17264
2100 3796 17108
5500 360 12608
1956 3792 15216
928 3360 20096
3248 216 17748
2872 3792 18856
7116 1588 14152
1416 2900 14948
2656 6316 14416
2076 1708 18552
2944 -972 14284
4376 -116 14288
3180 -2332 16016
4584 1136 18188
3868 -1360 14728
1460 1412 18084
1688 -496 19488
4488 -896 15752
3644 1004 10872
2644 204 14348
712 -1412 16148
2224 -848 18644
6308 -616 14956
5236 1404 14040
5052 1396 15712
3228 1580 18188
5652 624 15440
4520 684 13760
5312 1140 17544
-128 1068 16324
-1112 -88 19200
1608 1052 18068
1496 3360 16088
700 416 16656
284 1380 16660
2496 1844 17416
692 -380 16916
4340 -452 16140
4696 -464 11460
3892 1936 12024
6020 1632 14400
3060 848 16972
7276 -1628 13624
6076 1512 15540
1576 1376 18912
4552 384 17672
3224 740 14104
2352 3348 16372
3428 -328 16636
3624 -1604 13192
2368 -976 15372
2244 760 13260
3940 460 15956
3552 -708 12680
2816 -288 15584
876 736 20408
2520 -88 18588
2424 2252 16736
3076 2012 13760
6232 992 16968
4512 2308 14752
4164 6056 14508
1316 1168 15004
4856 1784 14168
2876 1152 17680
2468 2720 17820
6524 -520 12748
4280 612 13948
4980 -264 16832
1336 -836 15464
2604 -2016 15920
2788 -28 19336
2908 -684 13276
6964 -868 16284
2936 852 17796
4296 964 16108
1720 1724 13852
3784 2328 14784
2572 2328 14428
4852 1584 13412
2840 1740 15348
4236 1128 14236
1376 2388 16528
